stamp,open,high,low,close,buyvolume,sellvolume,volume
2014-05-23 12:18:50,1291.3899999999999,1291.3899999999999,1291.309,1291.3429999999998,70.0,72.0,214.0
2014-05-23 12:19:00,1291.3429999999998,1291.3780000000002,1291.3400000000001,1291.3780000000002,2.0,0.0,2.0
2014-05-23 12:19:10,1291.3780000000002,1291.3780000000002,1291.1019999999999,1291.1385,4.0,26.0,56.0
2014-05-23 12:19:20,1291.1385,1291.1475,1290.9340000000002,1290.9340000000002,3.0,19.0,41.0
2014-05-23 12:19:30,1290.9340000000002,1291.0230000000001,1290.899,1290.9685,31.0,8.0,47.0
2014-05-23 12:19:40,1290.9685,1290.9935,1290.85,1290.85,1.0,9.0,19.0
2014-05-23 12:19:50,1290.85,1290.85,1290.1460000000002,1290.1660000000002,46.0,125.0,296.0
2014-05-23 12:20:00,1290.1660000000002,1290.339,1289.848,1289.8665,72.0,112.0,296.0
2014-05-23 12:20:10,1289.8665,1289.89,1287.212,1287.212,579.0,1324.0,3227.0
2014-05-23 12:20:20,1287.212,1287.7400000000002,1286.8065000000001,1287.6195,459.0,266.0,991.0
2014-05-23 12:20:30,1287.6195,1288.498,1287.6060000000002,1288.498,235.0,100.0,435.0
2014-05-23 12:20:40,1288.498,1288.498,1287.9835,1287.9835,63.0,162.0,387.0
2014-05-23 12:20:50,1287.9835,1288.1999999999998,1287.7675,1287.7825,79.0,70.0,219.0
2014-05-23 12:21:00,1287.7825,1288.904,1287.7825,1288.904,279.0,51.0,381.0
2014-05-23 12:21:10,1288.904,1288.9085,1288.3580000000002,1288.518,127.0,174.0,475.0
2014-05-23 12:21:20,1288.518,1288.633,1287.7125,1287.7125,89.0,126.0,341.0
2014-05-23 12:21:30,1287.7125,1288.2015000000001,1287.7,1288.0259999999998,143.0,163.0,469.0
2014-05-23 12:21:40,1288.0259999999998,1288.2510000000002,1287.9009999999998,1288.071,174.0,52.0,278.0
2014-05-23 12:21:50,1288.071,1288.1115,1287.914,1288.1115,124.0,40.0,204.0
2014-05-23 12:22:00,1288.1115,1288.301,1288.1115,1288.1585,125.0,39.0,203.0
2014-05-23 12:22:10,1288.1585,1288.299,1287.9499999999998,1288.295,75.0,41.0,157.0
2014-05-23 12:22:20,1288.295,1288.3020000000001,1288.1150000000002,1288.1150000000002,21.0,42.0,105.0
2014-05-23 12:22:30,1288.1150000000002,1288.1930000000002,1288.066,1288.1930000000002,52.0,39.0,130.0
2014-05-23 12:22:40,1288.1930000000002,1288.2939999999999,1288.127,1288.2800000000002,61.0,9.0,79.0
2014-05-23 12:22:50,1288.2800000000002,1288.2939999999999,1288.143,1288.194,32.0,60.0,152.0
2014-05-23 12:23:00,1288.194,1288.3940000000002,1288.194,1288.362,48.0,41.0,130.0
2014-05-23 12:23:10,1288.362,1288.4,1288.2400000000002,1288.393,104.0,44.0,192.0
2014-05-23 12:23:20,1288.393,1288.4850000000001,1288.336,1288.4850000000001,142.0,35.0,212.0
2014-05-23 12:23:30,1288.4850000000001,1288.618,1288.426,1288.558,30.0,36.0,102.0
2014-05-23 12:23:40,1288.558,1288.797,1288.496,1288.797,170.0,36.0,242.0
2014-05-23 12:23:50,1288.797,1288.7980000000002,1288.5275000000001,1288.6135,82.0,90.0,262.0
2014-05-23 12:24:00,1288.6135,1288.6680000000001,1288.3195,1288.4745,34.0,25.0,84.0
2014-05-23 12:24:10,1288.4745,1288.4995000000001,1288.2820000000002,1288.3795,6.0,26.0,58.0
